timestamp,x,y,z,qx,qy,qz,qw
000000,3.7815e-13,-4.20626e-13,7.93232e-13,-4.79171e-15,1.13383e-14,-1.44723e-15,1
000001,0.957103,0.00689924,0.00953826,-0.000458597,-0.00243739,-0.000763457,0.999997
000002,1.91042,0.00790773,0.023535,0.000339786,-0.00275664,-0.00117949,0.999995
000003,2.86892,0.00528561,0.0331243,0.00119929,-0.000954268,-0.0017268,0.999997
000004,3.82522,0.00544017,0.0468658,0.00294005,0.0016901,-0.000919502,0.999994
000005,4.76623,0.00375585,0.0588777,0.00430277,0.00206856,-0.000172149,0.999989
000006,5.70676,0.00223152,0.067068,0.00577885,0.000859708,-0.000214945,0.999983
000007,6.63346,0.0100073,0.07527,0.00561841,-0.000522748,0.00073127,0.999984
000008,7.56372,0.0207556,0.0857945,0.00586419,-0.000797091,0.0011546,0.999982
000009,8.49734,0.0294993,0.0950268,0.00584469,1.15342e-05,0.00119079,0.999982
000010,9.42306,0.0409051,0.106887,0.00593786,0.00137351,0.00207359,0.999979
000011,10.3462,0.0519019,0.11569,0.00598771,0.00205177,0.00254055,0.999977
000012,11.2708,0.0622755,0.125151,0.00669271,0.00241847,0.00238178,0.999972
000013,12.1801,0.0723777,0.134434,0.00693604,0.00252426,0.00319589,0.999968
000014,13.0834,0.0853876,0.141024,0.00725357,0.00192191,0.00351541,0.999966
000015,13.9883,0.096642,0.146816,0.00783911,0.00112002,0.00374138,0.999962
000016,14.8872,0.111047,0.153408,0.0081129,0.000687866,0.00489247,0.999955
000017,15.7843,0.125604,0.161474,0.00801445,0.000445673,0.00566393,0.999952
000018,16.6809,0.144826,0.171813,0.00765778,9.24639e-05,0.00605202,0.999952
000019,17.5715,0.16397,0.181303,0.00717181,3.95725e-05,0.00723593,0.999948
000020,18.4595,0.183143,0.191888,0.00732902,0.000424763,0.00795332,0.999941
000021,19.3502,0.199718,0.203791,0.0074714,0.000959898,0.00822515,0.999938
000022,20.2359,0.220663,0.213712,0.00731297,0.00124929,0.00927438,0.999929
000023,21.11,0.238928,0.224423,0.00753424,0.00128847,0.0100156,0.999921
000024,21.9792,0.257522,0.232786,0.00757399,0.00112043,0.0105032,0.999916
000025,22.8444,0.280369,0.240768,0.00758033,0.00117914,0.0113954,0.999906
000026,23.7036,0.303523,0.246567,0.00761092,0.00200441,0.0116981,0.999901
000027,24.559,0.32623,0.255628,0.00809205,0.00328898,0.0123317,0.999886
000028,25.3999,0.349546,0.263704,0.00809981,0.00399546,0.0127646,0.999878
000029,26.2293,0.374266,0.27104,0.00775432,0.00359057,0.0128192,0.999881
000030,27.0391,0.402999,0.277185,0.00721119,0.00256824,0.0135054,0.999879
000031,27.8391,0.427982,0.282442,0.00707085,0.00186201,0.0139115,0.999876
000032,28.6356,0.455163,0.286904,0.00694605,0.00179487,0.0141033,0.999875
000033,29.4211,0.485641,0.298179,0.0070607,0.00169771,0.0150591,0.99986
000034,30.1967,0.515351,0.307123,0.00686907,0.00141836,0.0160532,0.999847
000035,30.9639,0.543558,0.316888,0.00669956,0.00139087,0.0167295,0.999837
000036,31.7245,0.576803,0.323779,0.00675735,0.001848,0.0181173,0.999811
000037,32.4774,0.608622,0.332252,0.00705808,0.0027995,0.0191555,0.999788
000038,33.2184,0.639965,0.339001,0.00678899,0.0034225,0.0198206,0.999775
000039,33.9434,0.6772,0.347505,0.00640877,0.00351342,0.0210902,0.999751
000040,34.6625,0.714473,0.352884,0.00526201,0.00309062,0.0217197,0.999745
000041,35.364,0.753406,0.357676,0.00451369,0.00260273,0.0227846,0.999727
000042,36.0627,0.789615,0.362953,0.0042673,0.00309759,0.0235498,0.999709
000043,36.7547,0.823889,0.368929,0.0039313,0.00389285,0.0238348,0.999701
000044,37.4299,0.864179,0.373526,0.0028218,0.00401513,0.0241367,0.999697
